剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠,sum,剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠
442,282,144,238,113,114,71,96,14,65,32,18,15,1,102,103,23,3,1876,0.235607676,0.150319829,0.076759062,0.126865672,0.060234542,0.060767591,0.037846482,0.051172708,0.007462687,0.034648188,0.017057569,0.009594883,0.007995736,0.000533049,0.054371002,0.054904051,0.012260128,0.001599147
867,504,222,550,66,155,109,127,28,109,62,66,44,4,107,84,37,22,3163,0.274106861,0.159342396,0.070186532,0.173885552,0.020866266,0.04900411,0.034460955,0.040151755,0.008852355,0.034460955,0.019601644,0.020866266,0.013910844,0.001264622,0.033828644,0.026557066,0.011697755,0.006955422
282,92,94,115,40,22,48,61,7,80,21,15,11,1,31,29,9,5,963,0.292834891,0.095534787,0.09761163,0.119418484,0.041536864,0.022845275,0.049844237,0.063343718,0.007268951,0.083073728,0.021806854,0.015576324,0.011422638,0.001038422,0.03219107,0.030114226,0.009345794,0.005192108
159,117,61,76,69,21,42,41,20,37,4,4,6,0,37,43,1,1,739,0.215155616,0.158322057,0.082543978,0.102841678,0.093369418,0.028416779,0.056833559,0.055480379,0.027063599,0.050067659,0.00541272,0.00541272,0.00811908,0,0.050067659,0.058186739,0.00135318,0.00135318
216,123,63,190,25,36,22,18,0,18,20,19,11,0,44,38,6,7,856,0.252336449,0.143691589,0.073598131,0.221962617,0.029205607,0.042056075,0.025700935,0.021028037,0,0.021028037,0.023364486,0.022196262,0.012850467,0,0.051401869,0.044392523,0.007009346,0.00817757
612,210,256,212,158,6,144,200,17,141,47,52,43,6,51,95,21,16,2287,0.267599475,0.091823349,0.111937035,0.092697857,0.069086139,0.002623524,0.062964582,0.087450809,0.007433319,0.06165282,0.02055094,0.02273721,0.018801924,0.002623524,0.022299956,0.041539134,0.009182335,0.006996065
152,81,104,43,87,24,35,48,12,35,10,8,6,2,35,55,29,2,768,0.197916667,0.10546875,0.135416667,0.055989583,0.11328125,0.03125,0.045572917,0.0625,0.015625,0.045572917,0.013020833,0.010416667,0.0078125,0.002604167,0.045572917,0.071614583,0.037760417,0.002604167
378,396,102,144,89,335,139,177,235,55,7,3,0,2,76,60,29,1,2228,0.169658887,0.177737882,0.045780969,0.064631957,0.03994614,0.150359066,0.062387792,0.079443447,0.105475763,0.024685817,0.003141831,0.001346499,0,0.000897666,0.034111311,0.026929982,0.013016158,0.000448833
564,702,422,188,238,24,181,294,288,236,22,19,27,11,139,107,7,13,3482,0.161975876,0.201608271,0.121194716,0.053991959,0.068351522,0.00689259,0.05198162,0.084434233,0.082711086,0.06777714,0.006318208,0.005456634,0.007754164,0.003159104,0.039919586,0.030729466,0.002010339,0.003733487
181,174,132,156,79,93,21,39,9,24,10,16,18,4,59,65,5,3,1088,0.166360294,0.159926471,0.121323529,0.143382353,0.072610294,0.085477941,0.019301471,0.035845588,0.008272059,0.022058824,0.009191176,0.014705882,0.016544118,0.003676471,0.054227941,0.059742647,0.004595588,0.002757353
