0,1,2
人工智能,1.281028264,1
狗十三,1.280593276,1
黑客帝国2：重装上阵,1.279936779,1
异形,1.275969208,1
无间道2,1.275549062,1
无敌破坏王2：大闹互联网,1.269770974,1
第十一回,1.265651371,1
辩护人,1.263082653,1
燃烧,1.259607813,1
钢铁侠,1.258140235,1
隧道,1.256348805,1
小森林 夏秋篇,1.256250185,1
2001太空漫游,1.256189643,1
火锅英雄,1.255608682,1
真爱至上,1.25444479,1
大黄蜂,1.253899558,1
神秘巨星,1.252178057,1
姜子牙,1.250983897,1
卡罗尔,1.250885503,1
猩球崛起,1.250540367,1
叫我第一名,1.245375419,1
雷神3：诸神黄昏,1.242681949,1
痛苦与荣耀,1.242514679,1
变脸,1.235666177,1
平原上的夏洛克,1.233027177,1
请以你的名字呼唤我,1.231795155,1
两杆大烟枪,1.23013075,1
银河护卫队,1.227623377,1
有话好好说,1.224583681,1
寒战2,1.224330933,1
小岛惊魂,1.223418102,1
蜘蛛侠：英雄归来,1.219754237,1
扫毒2天地对决,1.215376159,1
孤儿怨,1.215132509,1
这里的黎明静悄悄,1.213343147,1
亲爱的,1.213056611,1
侏罗纪世界,1.212210443,1
谍影重重3,1.211191057,1
遗传厄运,1.211008088,1
绣春刀II：修罗战场,1.209510536,1
绝杀慕尼黑,1.201114705,1
大护法,1.200091861,1
白日梦想家,1.198424028,1
何以为家,1.196673248,1
浪潮,1.195864205,1
宠儿,1.193460488,1
X战警：逆转未来,1.19148939,1
功夫熊猫2,1.187795159,1
悲惨世界,1.18747809,1
复仇者联盟2：奥创纪元,1.180638808,1
蝴蝶效应,1.179583975,1
蝙蝠侠：侠影之谜,1.179305652,1
素媛,1.179203856,1
死侍,1.174179811,1
饮食男女,1.168470998,1
暗战,1.167891343,1
中国机长,1.166066826,1
星球大战外传：侠盗一号,1.16438638,1
幽灵公主,1.163004938,1
爱在午夜降临前,1.154346649,1
隐藏人物,1.153978896,1
集结号,1.15390296,1
致命ID,1.153426417,1
卢旺达饭店,1.151789113,1
九品芝麻官,1.150404805,1
动物世界,1.147247987,1
与神同行：罪与罚,1.147161082,1
孟买酒店,1.140637102,1
万箭穿心,1.136451423,1
春娇救志明,1.135293687,1
霍比特人2：史矛革之战,1.131879487,1
廊桥遗梦,1.131212855,1
侏罗纪公园,1.125829013,1
银河护卫队2,1.124722466,1
千钧一发,1.122701732,1
复仇者联盟,1.121238389,1
同学麦娜丝,1.118745314,1
绿里奇迹,1.115248436,1
我的姐姐,1.11147464,1
小伟,1.105535307,1
海街日记,1.103260718,1
登月第一人,1.102968082,1
太阳照常升起,1.100660667,1
我，花样女王,1.09596571,1
无间道3：终极无间,1.094444379,1
黑暗面,1.092387353,1
霍比特人1：意外之旅,1.085696878,1
天下无贼,1.084269522,1
碟中谍,1.082088567,1
小王子,1.080293315,1
铁雨,1.078308571,1
惊魂记,1.077488031,1
玛丽和马克思,1.076177833,1
穿普拉达的女王,1.075196076,1
勇敢的心,1.072242073,1
控方证人,1.067347008,1
大红灯笼高高挂,1.066080438,1
滚蛋吧！肿瘤君,1.06492609,1
死侍2：我爱我家,1.064830271,1
心灵捕手,1.064539774,1
不成问题的问题,1.06338745,1
哈利·波特与火焰杯,1.062503757,1
蒂凡尼的早餐,1.056507213,1
战争之王,1.055215673,1
超人总动员2,1.052526746,1
秒速5厘米,1.051248428,1
阳台上,1.045763841,1
魅影缝匠,1.04520638,1
方形,1.040065278,1
熔炉,1.032598473,1
雨人,1.031654682,1
黑客帝国3：矩阵革命,1.028307934,1
谁先爱上他的,1.027512133,1
无敌破坏王,1.027271606,1
阿黛尔的生活,1.026567556,1
追凶者也,1.0217195,1
大话西游之月光宝盒,1.017131467,1
